file,speaker,label
audio1.wav,2pac,United States
audio2.wav,2pac,United States
audio3.wav,2pac,United States
audio4.wav,2pac,United States
audio5.wav,2pac,United States
audio6.wav,2pac,United States
audio7.wav,2pac,United States
audio8.wav,2pac,United States
audio9.wav,2pac,United States
audio10.wav,2pac,United States
audio11.wav,2pac,United States
audio12.wav,2pac,United States
audio13.wav,2pac,United States
audio14.wav,2pac,United States
audio15.wav,2pac,United States
audio16.wav,2pac,United States
audio17.wav,2pac,United States
audio18.wav,2pac,United States
audio19.wav,Alan Watts,United Kingdom
audio20.wav,Alan Watts,United Kingdom
audio21.wav,Alan Watts,United Kingdom
audio22.wav,Alan Watts,United Kingdom
audio23.wav,Alan Watts,United Kingdom
audio24.wav,Alan Watts,United Kingdom
audio25.wav,Alan Watts,United Kingdom
audio26.wav,Alan Watts,United Kingdom
audio27.wav,Alan Watts,United Kingdom
audio28.wav,Alan Watts,United Kingdom
audio29.wav,Alan Watts,United Kingdom
audio30.wav,Alan Watts,United Kingdom
audio31.wav,Alan Watts,United Kingdom
audio32.wav,Alan Watts,United Kingdom
audio33.wav,Alan Watts,United Kingdom
audio34.wav,Alan Watts,United Kingdom
audio35.wav,Alan Watts,United Kingdom
audio36.wav,Alan Watts,United Kingdom
audio37.wav,Alan Watts,United Kingdom
audio38.wav,Alan Watts,United Kingdom
audio39.wav,Alan Watts,United Kingdom
audio40.wav,Alan Watts,United Kingdom
audio41.wav,Alan Watts,United Kingdom
audio42.wav,Alan Watts,United Kingdom
audio43.wav,Alan Watts,United Kingdom
audio44.wav,Alan Watts,United Kingdom
audio45.wav,Alan Watts,United Kingdom
audio46.wav,Alan Watts,United Kingdom
audio47.wav,Alan Watts,United Kingdom
audio48.wav,Alan Watts,United Kingdom
audio49.wav,Alan Watts,United Kingdom
audio50.wav,Alan Watts,United Kingdom
audio51.wav,Alan Watts,United Kingdom
audio52.wav,Alan Watts,United Kingdom
audio53.wav,Alan Watts,United Kingdom
audio54.wav,Alan Watts,United Kingdom
audio55.wav,Alan Watts,United Kingdom
audio56.wav,Alan Watts,United Kingdom
audio57.wav,Alan Watts,United Kingdom
audio58.wav,Alan Watts,United Kingdom
audio59.wav,Alan Watts,United Kingdom
audio60.wav,Alan Watts,United Kingdom
audio61.wav,Alan Watts,United Kingdom
audio62.wav,Alan Watts,United Kingdom
audio63.wav,Alan Watts,United Kingdom
audio64.wav,Alan Watts,United Kingdom
audio65.wav,Alan Watts,United Kingdom
audio66.wav,Alan Watts,United Kingdom
audio67.wav,Alan Watts,United Kingdom
audio68.wav,Alan Watts,United Kingdom
audio69.wav,Alan Watts,United Kingdom
audio70.wav,Alan Watts,United Kingdom
audio71.wav,Alan Watts,United Kingdom
audio72.wav,Alan Watts,United Kingdom
audio73.wav,Alan Watts,United Kingdom
audio74.wav,Alan Watts,United Kingdom
audio75.wav,Alan Watts,United Kingdom
audio76.wav,Alan Watts,United Kingdom
audio77.wav,Alan Watts,United Kingdom
audio78.wav,Alan Watts,United Kingdom
audio79.wav,Alan Watts,United Kingdom
audio80.wav,Alan Watts,United Kingdom
audio81.wav,Alan Watts,United Kingdom
audio82.wav,Alan Watts,United Kingdom
audio83.wav,Alan Watts,United Kingdom
audio84.wav,Alan Watts,United Kingdom
audio85.wav,Alan Watts,United Kingdom
audio86.wav,Alan Watts,United Kingdom
audio87.wav,Alan Watts,United Kingdom
audio88.wav,Alan Watts,United Kingdom
audio89.wav,Alan Watts,United Kingdom
audio90.wav,Alan Watts,United Kingdom
audio91.wav,Alan Watts,United Kingdom
audio92.wav,Alan Watts,United Kingdom
audio93.wav,Alan Watts,United Kingdom
audio94.wav,Alan Watts,United Kingdom
audio95.wav,Alan Watts,United Kingdom
audio96.wav,Alan Watts,United Kingdom
audio97.wav,Alan Watts,United Kingdom
audio98.wav,Alan Watts,United Kingdom
audio99.wav,Alan Watts,United Kingdom
audio100.wav,Alan Watts,United Kingdom
audio101.wav,Alan Watts,United Kingdom
audio102.wav,Alan Watts,United Kingdom
audio103.wav,Alan Watts,United Kingdom
audio104.wav,Alan Watts,United Kingdom
audio105.wav,Alan Watts,United Kingdom
audio106.wav,Alan Watts,United Kingdom
audio107.wav,Alan Watts,United Kingdom
audio108.wav,Alan Watts,United Kingdom
audio109.wav,Alan Watts,United Kingdom
audio110.wav,Alan Watts,United Kingdom
audio111.wav,Alan Watts,United Kingdom
audio112.wav,Alan Watts,United Kingdom
audio113.wav,Alan Watts,United Kingdom
audio114.wav,Alan Watts,United Kingdom
audio115.wav,Alan Watts,United Kingdom
audio116.wav,Alan Watts,United Kingdom
audio117.wav,Alan Watts,United Kingdom
audio118.wav,Alan Watts,United Kingdom
audio119.wav,Alan Watts,United Kingdom
audio120.wav,Alan Watts,United Kingdom
audio121.wav,Alan Watts,United Kingdom
audio122.wav,Alan Watts,United Kingdom
audio123.wav,Alan Watts,United Kingdom
audio124.wav,Alan Watts,United Kingdom
audio125.wav,Alan Watts,United Kingdom
audio126.wav,Alan Watts,United Kingdom
audio127.wav,Alan Watts,United Kingdom
audio128.wav,Alan Watts,United Kingdom
audio129.wav,Alan Watts,United Kingdom
audio130.wav,Alan Watts,United Kingdom
audio131.wav,Alan Watts,United Kingdom
audio132.wav,Alan Watts,United Kingdom
audio133.wav,Alan Watts,United Kingdom
audio134.wav,Alan Watts,United Kingdom
audio135.wav,Alan Watts,United Kingdom
audio136.wav,Alan Watts,United Kingdom
audio137.wav,Alan Watts,United Kingdom
audio138.wav,Alan Watts,United Kingdom
audio139.wav,Alan Watts,United Kingdom
audio140.wav,Alan Watts,United Kingdom
audio141.wav,Alan Watts,United Kingdom
audio142.wav,Alan Watts,United Kingdom
audio143.wav,Alan Watts,United Kingdom
audio144.wav,Alan Watts,United Kingdom
audio145.wav,Alan Watts,United Kingdom
audio146.wav,Alan Watts,United Kingdom
audio147.wav,Alan Watts,United Kingdom
audio148.wav,Alan Watts,United Kingdom
audio149.wav,Alan Watts,United Kingdom
audio150.wav,Alan Watts,United Kingdom
audio151.wav,Alan Watts,United Kingdom
audio152.wav,Alan Watts,United Kingdom
audio153.wav,Alan Watts,United Kingdom
